Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1980","1980","ha","132250","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1980","1980","100 g/ha","18137","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1980","1980","t","239858","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1981","1981","ha","132010","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1981","1981","100 g/ha","22980","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1981","1981","t","303361","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1982","1982","ha","137190","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1982","1982","100 g/ha","18748","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1982","1982","t","257200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1983","1983","ha","145680","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1983","1983","100 g/ha","12356","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1983","1983","t","180000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1984","1984","ha","154180","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1984","1984","100 g/ha","28473","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1984","1984","t","439000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1985","1985","ha","165510","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1985","1985","100 g/ha","21268","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1985","1985","t","352000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1986","1986","ha","168350","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1986","1986","100 g/ha","11250","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1986","1986","t","189400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1987","1987","ha","168750","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1987","1987","100 g/ha","29630","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1987","1987","t","500000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1988","1988","ha","169560","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1988","1988","100 g/ha","26356","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1988","1988","t","446900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1989","1989","ha","166330","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1989","1989","100 g/ha","22317","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1989","1989","t","371200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1990","1990","ha","166330","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1990","1990","100 g/ha","30049","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1990","1990","t","499800","A","Official figure",""
