YEAR,Month,Day,Surface Pressure,Wind Speed at 10 Meters,Precipitation Corrected,Specific Humidity at 2 Meters,Earth Skin Temperature
1982,1,1,89.33,8.42,0.01,2.08,-3.57
1982,1,2,89.3,5.48,0.89,1.59,-5.8
1982,1,3,89.72,4.2,0.86,1.46,-7.63
1982,1,4,89.72,5.7,0.0,1.65,-4.06
1982,1,5,89.41,5.45,0.57,1.59,-5.44
1982,1,6,90.48,4.51,0.19,0.92,-12.13
1982,1,7,91.42,4.95,0.0,0.92,-11.33
1982,1,8,90.91,6.2,0.04,1.65,-5.74
1982,1,9,91.29,6.02,0.06,1.34,-8.41
1982,1,10,92.06,4.35,0.19,0.31,-19.24
1982,1,11,90.27,5.09,0.12,0.85,-12.53
1982,1,12,90.29,3.68,1.31,0.98,-12.42
1982,1,13,90.09,5.55,0.09,1.59,-8.49
1982,1,14,89.46,6.55,0.04,2.75,-0.7
1982,1,15,90.0,7.4,0.54,2.08,-4.76
1982,1,16,90.92,5.55,0.06,0.85,-12.24
1982,1,17,89.34,6.18,0.0,2.93,-0.42
1982,1,18,89.54,2.74,0.0,3.23,0.13
1982,1,19,90.1,5.15,0.0,2.56,-1.53
1982,1,20,90.23,3.39,0.29,2.2,-3.77
1982,1,21,90.43,6.14,0.96,1.28,-10.05
1982,1,22,89.62,9.85,2.9,1.04,-13.03
1982,1,23,90.27,4.9,0.0,0.98,-12.1
1982,1,24,89.99,5.88,0.0,2.62,-3.02
1982,1,25,91.02,5.34,0.0,2.26,-0.98
1982,1,26,89.75,5.07,0.0,3.48,2.12
1982,1,27,89.81,5.74,0.0,3.11,1.35
1982,1,28,90.51,6.54,0.0,2.69,-0.47
1982,1,29,90.11,5.64,0.0,2.5,-0.93
1982,1,30,90.63,4.53,0.0,2.2,-0.64
1982,1,31,90.22,2.8,0.06,2.62,-0.49
1982,2,1,90.38,5.85,0.19,2.44,-2.72
1982,2,2,90.92,4.5,0.17,1.71,-5.69
1982,2,3,91.23,4.19,2.05,0.79,-12.51
1982,2,4,91.34,3.25,0.55,0.61,-14.94
1982,2,5,91.32,4.09,0.02,0.49,-14.92
1982,2,6,91.01,5.77,0.0,0.92,-8.83
1982,2,7,90.59,5.3,0.04,1.53,-5.74
1982,2,8,90.74,4.32,0.61,1.34,-9.13
1982,2,9,90.69,4.03,0.04,1.04,-9.88
1982,2,10,90.13,4.08,0.05,1.1,-7.98
1982,2,11,90.64,3.76,0.2,1.71,-6.89
1982,2,12,91.1,3.87,0.01,1.89,-3.1
1982,2,13,90.37,5.12,0.0,2.26,0.55
1982,2,14,89.16,5.7,0.0,3.54,4.73
1982,2,15,89.7,4.97,0.0,4.46,4.74
1982,2,16,89.87,3.33,0.0,4.39,6.69
1982,2,17,89.97,4.91,0.05,3.72,5.85
1982,2,18,90.61,3.47,0.0,3.11,4.5
1982,2,19,90.41,5.02,0.0,3.23,6.71
1982,2,20,90.63,5.2,0.0,3.23,6.9
1982,2,21,90.54,4.55,0.0,4.27,8.66
1982,2,22,90.12,5.64,0.0,3.85,9.76
1982,2,23,90.32,4.09,0.02,2.62,2.46
1982,2,24,91.43,5.61,0.0,1.89,-0.35
1982,2,25,91.81,5.58,0.0,1.59,-1.59
1982,2,26,91.1,7.02,0.0,2.26,0.18
1982,2,27,90.49,4.49,0.0,2.93,3.29
1982,2,28,91.06,4.59,0.0,3.23,5.35
1982,3,1,90.45,4.55,0.0,3.3,7.69
1982,3,2,89.9,6.39,0.59,3.11,4.46
1982,3,3,89.9,3.22,17.26,2.14,-5.27
1982,3,4,90.13,3.77,0.05,2.08,-5.97
1982,3,5,90.84,3.77,0.0,1.59,-8.2
1982,3,6,90.7,5.26,0.8,2.01,-5.06
1982,3,7,90.3,3.93,0.06,2.56,-1.27
1982,3,8,90.75,5.65,0.0,2.56,-0.45
1982,3,9,90.35,6.33,0.0,3.05,2.53
