Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1980","1980","ha","224941","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1980","1980","100 g/ha","115830","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1980","1980","t","2605500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1981","1981","ha","236616","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1981","1981","100 g/ha","118568","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1981","1981","t","2805520","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1982","1982","ha","256160","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1982","1982","100 g/ha","122612","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1982","1982","t","3140840","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1983","1983","ha","239000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1983","1983","100 g/ha","112751","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1983","1983","t","2694740","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1984","1984","ha","250982","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1984","1984","100 g/ha","120423","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1984","1984","t","3022400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1985","1985","ha","253500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1985","1985","100 g/ha","122667","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1985","1985","t","3109600","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1986","1986","ha","242200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1986","1986","100 g/ha","124050","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1986","1986","t","3004500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1987","1987","ha","253000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1987","1987","100 g/ha","130870","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1987","1987","t","3311000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1988","1988","ha","253650","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1988","1988","100 g/ha","112320","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1988","1988","t","2849000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1989","1989","ha","260000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1989","1989","100 g/ha","131038","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1989","1989","t","3407000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1990","1990","ha","276590","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1990","1990","100 g/ha","130977","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1990","1990","t","3622700","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1991","1991","ha","295040","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1991","1991","100 g/ha","128293","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1991","1991","t","3785150","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1992","1992","ha","286350","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1992","1992","100 g/ha","132274","A","Official figure",""
