Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,United States of America,"Almonds, in shell",1980,132250.0,A,Official figure,18137.0,239858.0
Crops and livestock products,United States of America,"Almonds, in shell",1981,132010.0,A,Official figure,22980.0,303361.0
Crops and livestock products,United States of America,"Almonds, in shell",1982,137190.0,A,Official figure,18748.0,257200.0
Crops and livestock products,United States of America,"Almonds, in shell",1983,145680.0,A,Official figure,12356.0,180000.0
Crops and livestock products,United States of America,"Almonds, in shell",1984,154180.0,A,Official figure,28473.0,439000.0
Crops and livestock products,United States of America,"Almonds, in shell",1985,165510.0,A,Official figure,21268.0,352000.0
Crops and livestock products,United States of America,"Almonds, in shell",1986,168350.0,A,Official figure,11250.0,189400.0
Crops and livestock products,United States of America,"Almonds, in shell",1987,168750.0,A,Official figure,29630.0,500000.0
Crops and livestock products,United States of America,"Almonds, in shell",1988,169560.0,A,Official figure,26356.0,446900.0
Crops and livestock products,United States of America,"Almonds, in shell",1989,166330.0,A,Official figure,22317.0,371200.0
Crops and livestock products,United States of America,"Almonds, in shell",1990,166330.0,A,Official figure,30049.0,499800.0
Crops and livestock products,United States of America,"Almonds, in shell",1991,163900.0,A,Official figure,22648.0,371200.0
Crops and livestock products,United States of America,"Almonds, in shell",1992,162280.0,A,Official figure,25401.0,412200.0
Crops and livestock products,United States of America,"Almonds, in shell",1993,167130.0,A,Official figure,21767.0,363800.0
Crops and livestock products,United States of America,"Almonds, in shell",1994,175230.0,A,Official figure,30246.0,530000.0
Crops and livestock products,United States of America,"Almonds, in shell",1995,169160.0,A,Official figure,16316.0,276000.0
Crops and livestock products,United States of America,"Almonds, in shell",1996,173200.0,A,Official figure,22258.0,385500.0
Crops and livestock products,United States of America,"Almonds, in shell",1997,181220.0,A,Official figure,30295.0,549000.0
Crops and livestock products,United States of America,"Almonds, in shell",1998,188600.0,A,Official figure,20838.0,393000.0
Crops and livestock products,United States of America,"Almonds, in shell",1999,196800.0,A,Official figure,32063.0,631000.0
Crops and livestock products,United States of America,"Almonds, in shell",2000,202340.0,A,Official figure,26342.0,533000.0
Crops and livestock products,United States of America,"Almonds, in shell",2001,214483.0,A,Official figure,28402.0,609178.0
Crops and livestock products,United States of America,"Almonds, in shell",2002,220554.0,A,Official figure,36275.0,800051.0
Crops and livestock products,United States of America,"Almonds, in shell",2003,222577.0,A,Official figure,35325.0,786262.0
Crops and livestock products,United States of America,"Almonds, in shell",2004,230671.0,A,Official figure,34074.0,785985.0
Crops and livestock products,United States of America,"Almonds, in shell",2005,234718.0,A,Official figure,29969.0,703431.0
Crops and livestock products,United States of America,"Almonds, in shell",2006,234718.0,A,Official figure,36049.0,846131.0
Crops and livestock products,United States of America,"Almonds, in shell",2007,259002.0,A,Official figure,46830.0,1212900.0
Crops and livestock products,United States of America,"Almonds, in shell",2008,275189.0,A,Official figure,51238.0,1410000.0
Crops and livestock products,United States of America,"Almonds, in shell",2009,291374.0,A,Official figure,39887.0,1162200.0
Crops and livestock products,United States of America,"Almonds, in shell",2010,311608.0,A,Official figure,45371.0,1413800.0
Crops and livestock products,United States of America,"Almonds, in shell",2011,323749.0,A,Official figure,56883.0,1841587.0
Crops and livestock products,United States of America,"Almonds, in shell",2012,331854.0,A,Official figure,49871.0,1655000.0
Crops and livestock products,United States of America,"Almonds, in shell",2013,343983.0,A,Official figure,50375.0,1732800.0
Crops and livestock products,United States of America,"Almonds, in shell",2014,352077.0,A,Official figure,43897.0,1545500.0
Crops and livestock products,United States of America,"Almonds, in shell",2017,416830.0,A,Official figure,41188.0,1716850.0
Crops and livestock products,United States of America,"Almonds, in shell",2018,441110.0,A,Official figure,39024.0,1721380.0
Crops and livestock products,United States of America,"Almonds, in shell",2019,477530.0,A,Official figure,40064.0,1913160.0
Crops and livestock products,United States of America,"Almonds, in shell",2020,505863.0,A,Official figure,46358.0,2345070.0
Crops and livestock products,United States of America,"Almonds, in shell",2021,534191.0,A,Official figure,41194.0,2200560.0
