Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1980,1980,ha,132250.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1980,1980,100 g/ha,18137.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1980,1980,t,239858.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1981,1981,ha,132010.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1981,1981,100 g/ha,22980.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1981,1981,t,303361.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1982,1982,ha,137190.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1982,1982,100 g/ha,18748.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1982,1982,t,257200.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1983,1983,ha,145680.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1983,1983,100 g/ha,12356.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1983,1983,t,180000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1984,1984,ha,154180.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1984,1984,100 g/ha,28473.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1984,1984,t,439000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1985,1985,ha,165510.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1985,1985,100 g/ha,21268.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1985,1985,t,352000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1986,1986,ha,168350.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1986,1986,100 g/ha,11250.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1986,1986,t,189400.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1987,1987,ha,168750.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371.0,"Almonds, in shell",1987,1987,100 g/ha,29630.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5510,Production,1371.0,"Almonds, in shell",1987,1987,t,500000.0,A,Official figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371.0,"Almonds, in shell",1988,1988,ha,169560.0,A,Official figure
